time,latitude,longitude,number,expver,Star_Event,PM25,PM10,Ratio
2025-10-14 19:00:00,56.69999999999997,-3.700000000000014,0,0001,1.0,2.0417931664853113e-08,2.1652157849070734e-08,0.9429975435787528
2025-10-14 19:00:00,56.69999999999997,-3.600000000000014,0,0001,1.0,2.1023626376831846e-08,2.216460565085617e-08,0.9485224645095254
2025-10-14 19:00:00,56.69999999999997,-3.5000000000000138,0,0001,1.0,2.156300186092314e-08,2.2652938270567825e-08,0.9518854288734454
2025-10-14 19:00:00,56.69999999999997,-3.4000000000000137,0,0001,1.0,2.210237734501441e-08,2.3141270890279474e-08,0.9551064610845789
2025-10-14 19:00:00,56.69999999999997,-3.3000000000000136,0,0001,1.0,2.264175282910568e-08,2.3629603509991126e-08,0.9581943607108024
2025-10-14 20:00:00,56.69999999999997,-3.600000000000014,0,0001,1.0,2.0671380459212542e-08,2.179674662983413e-08,0.9483699934796117
2025-10-14 20:00:00,56.69999999999997,-3.5000000000000138,0,0001,1.0,2.1330831804594883e-08,2.2409772667174137e-08,0.9518540023317734
2025-10-14 20:00:00,56.69999999999997,-3.4000000000000137,0,0001,1.0,2.1990283149977246e-08,2.3022798704514167e-08,0.9551524743890294
2025-10-14 21:00:00,56.599999999999966,-3.5000000000000138,0,0001,1.0,2.6317191120786072e-08,2.7403416619222815e-08,0.960361676300072
2025-10-14 22:00:00,56.499999999999964,-3.600000000000014,0,0001,1.0,3.0865333215207986e-08,3.203615213850235e-08,0.9634531975552948
2025-10-14 22:00:00,56.499999999999964,-3.5000000000000138,0,0001,1.0,3.1568893194003e-08,3.2695378265892533e-08,0.9655460455992134
2025-10-14 22:00:00,56.29999999999996,-4.400000000000013,0,0001,1.0,3.134934319545435e-08,3.313248497783239e-08,0.9461814656047965
2025-10-14 22:00:00,56.29999999999996,-4.300000000000013,0,0001,1.0,3.304185902664447e-08,3.476573841773193e-08,0.9504144174826957
