,Type,age,breed,sex,presented,County,lon,lat,Diagnosis method
"On 27 May 2025, EGSF reported a case of fatal sub-acute EGS in a seven-year-old Welsh Cob gelding on a premises in Bedfordshire that occurred on 12 May. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",sub-acute,7,Welsh Cob,gelding,12 May 2025,Bedfordshire,-0.442369,52.065242,clinical signs by a veterinary surgeon
"On 16 May 2025, EGSF reported a fatal case of acute EGS in a 22-year-old Shetland Pony mare on a premises in the Highlands. The case presented on 12 May 2025 and positive diagnosis was confirmed on clinical signs by a veterinary surgeon.",acute,22,Shetland Pony,mare,12 May 2025,Highland,-4.66091,57.586689,
"On 1 June 2025, EGSF reported a fatal case of acute EGS in a five-year-old Cob gelding on a premises in Aberdeenshire, that presented on 11 May 2025. The positive diagnosis was confirmed on clinical signs by a veterinary surgeon and post mortem examination with ganglian histopathology.",acute,5,Cob,gelding,11 May 2025,Aberdeenshire,-2.79205,57.23468,clinical signs by a veterinary surgeon and post mortem with ganglia histopathology
"On 15 May 2025, EGSF reported a fatal sub-acute case of EGS in a three-year-old Sports Horse gelding on a premises in Kent. The case presented on 7 May 2025 and positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",sub-acute,3,Sports Horse,gelding,07 May 2025,Kent,0.721553,51.192902,clinical signs by a veterinary surgeon
"On 15 May 2025, EGSF reported a case of fatal sub-acute EGS in a 10-year-old Cob mare on a premises in Aberdeenshire. The case presented on 4 May 2025 and positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further deails currently available on this case.",sub-acute,10,Cob,mare,04 May 2025,Aberdeenshire,-2.79205,57.23468,clinical signs by a veterinary surgeon
"On 16 May 2025, EGSF reported a fatal case of acute EGS in a Thoroughbred on a premises in Suffolk. The case presented on 29 April 2025, but there are no further details currently available on this case.",acute,,Thoroughbred,,29 April 2025,Suffolk,1.049148,52.253868,
"On 12 May 2025, the EGSF reported a fatal case of acute EGS in a Warmblood stallion on a premises in Somerset. The case presented on 29 April 2025 and positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,,Warmblood,stallion,29 April 2025,Somerset,-3.29605,51.071861,clinical signs by a veterinary surgeon
"On 12 May 2025, the EGSF reported a fatal case of acute EGS in a 12-year-old Thoroughbred mare on a premises in West Lothian. The case presented on 28 April 2025 and positive diagnosis was confirmed by surgery with gut biopsy and histopathology. There are no further details currently available on this case.",acute,12,Thoroughbred,mare,28 April 2025,West Lothian,-3.60909,55.8992,surgery with gut biopsy and histopathology
"On 9 June 2025, EGSF reported a fatal case of EGS in a two-year-old Cob mare on a premises in Worcestershire. The case presented with acute EGS on 22 April 2025. Positive diagnosis was confirmed by post mortem with ganglia histopathology. There are no further details currently available on this case.",acute,2,Cob,mare,22 April 2025,Worcestershire,-2.20935,52.212872,post mortem with ganglia histopathology
"On 27 May 2025, EGSF reported a case of fatal sub-acute EGS in a 14-year-old Sports Horse gelding on a premises in Hertfordshire that occurred on 22 April. Positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",sub-acute,14,Sports Horse,gelding,22 April 2025,Hertfordshire,-0.27699,51.808788,clinical signs by a veterinary surgeon
"On 12 May 2025, EGSF reported a case of EGS in a two-year-old Shetland Pony filly on a premises in Shetland. The case presented on 17 April 2025 and was confirmed on clinical signs by their keeper. There are no further details currently available on this case",,2,Shetland Pony,filly,17 April 2025,Shetland Islands,-1.37344,60.504951,clinical signs by their keeper
"On 22 April 2025, EGSF reported a fatal case of sub-acute EGS in a two-year-old Cob gelding on a premises in Angus. The case presented on 13 April 2025 and positive diagnosis was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",sub-acute,2,Cob,gelding,13 April 2025,Angus,-2.89189,56.7248,clinical signs by a veterinary surgeon
"On 22 April 2025, EGSF reported a case of fatal acute EGS in a four-year-old Highland Pony mare on a premises in Angus. The case presented on 9 April 2025 and was confirmed on clinical signs by a veterinary surgeon. There are no further details currently available on this case.",acute,4,Highland Pony,mare,09 April 2025,Angus,-2.89189,56.7248,clinical signs by a veterinary surgeon
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
