time,latitude,longitude,number,expver,Axis_Type,PM25_Center,PM10_Center,PM25_In_Step1,PM10_In_Step1,PM25_Out_Step1,PM10_Out_Step1,PM25_In_Step2,PM10_In_Step2,PM25_Out_Step2,PM10_Out_Step2,PM25_In_Step3,PM10_In_Step3,PM25_Out_Step3,PM10_Out_Step3
2025-06-29 23:00:00,50.59999999999988,-3.800000000000014,0,0001,1.0,9.924172178489114e-09,1.0947751224085546e-08,9.924172178489114e-09,1.0947751224085544e-08,9.924172178489114e-09,1.0947751224085544e-08,9.92417217848827e-09,1.0947751224085051e-08,9.924172178489092e-09,1.094775122408553e-08,9.51582491276462e-09,1.0773758089370048e-08,9.423177099732678e-09,1.0494294859035425e-08
2025-06-30 00:00:00,53.799999999999926,-1.2000000000000117,0,0001,1.0,1.0477501533045347e-08,1.1092136986689322e-08,1.0477501533045349e-08,1.1092136986689322e-08,1.0948730866377354e-08,1.1565799873380163e-08,1.0477501533045615e-08,1.1092136986689632e-08,1.1419960199709444e-08,1.2039462760071087e-08,9.841722159454085e-09,1.0463336419519775e-08,1.1891189533041534e-08,1.251312564676201e-08
2025-06-30 00:00:00,53.699999999999925,-1.3000000000000118,0,0001,1.0,1.1463051174941847e-08,1.2034812257865457e-08,1.1463051174941817e-08,1.2034812257865459e-08,1.1463051174941847e-08,1.2034812257865457e-08,1.1431225688251311e-08,1.2035845098345212e-08,1.2039036045851552e-08,1.2620815947882837e-08,1.1399400201560807e-08,1.2036877938824966e-08,1.2615020916761339e-08,1.3206819637900303e-08
2025-06-30 00:00:00,53.099999999999916,-2.500000000000013,0,0001,1.0,1.0390495797096376e-08,1.1349481354727324e-08,1.0390495797096376e-08,1.1349481354727326e-08,1.0390495797096376e-08,1.1349481354727326e-08,1.2716339536919357e-08,1.3745597882139206e-08,1.0457838039989509e-08,1.1378888609136633e-08,1.504218327674555e-08,1.6141714409554474e-08,1.0525180282882542e-08,1.1408295863545841e-08
2025-06-30 00:00:00,52.89999999999991,-2.2000000000000126,0,0001,1.0,8.879788460092256e-09,1.0033788466756962e-08,8.879788460092737e-09,1.0033788466757535e-08,8.879788460092257e-09,1.003378846675696e-08,9.30276011779143e-09,1.0537353212215211e-08,8.879788460092257e-09,1.003378846675695e-08,9.725731775490122e-09,1.104091795767289e-08,8.795604369837818e-09,9.851342297473411e-09
2025-06-30 00:00:00,51.699999999999896,-2.700000000000013,0,0001,1.0,1.5610873260742036e-08,1.796103377138667e-08,1.5610873260740964e-08,1.7961033771385545e-08,1.561087326074195e-08,1.7961033771386564e-08,1.4815663806899913e-08,1.7127524953864e-08,1.5166879863138806e-08,1.7419717224244064e-08,1.402045435305886e-08,1.629401613634246e-08,1.4722886465535663e-08,1.6878400677101557e-08
2025-06-30 00:00:00,51.699999999999896,-2.600000000000013,0,0001,1.0,1.582636999231236e-08,1.8217404029742374e-08,1.5826369992311268e-08,1.8217404029741206e-08,1.582636999231236e-08,1.821740402974237e-08,1.501908997170189e-08,1.7354492065635494e-08,1.5826369992312274e-08,1.821740402974227e-08,1.4211809951092509e-08,1.6491580101529774e-08,1.4847926110840163e-08,1.7101360771932648e-08
2025-06-30 01:00:00,51.49999999999989,-2.800000000000013,0,0001,1.0,1.4823030913823347e-08,1.6933655829405137e-08,1.4823030913823347e-08,1.6933655829405137e-08,1.4323568757004953e-08,1.6338526217147728e-08,1.4102821096114466e-08,1.6195854601885963e-08,1.3824106600186461e-08,1.57433966048902e-08,1.338261127840488e-08,1.5458053374365877e-08,1.3324644443367969e-08,1.5148266992632673e-08
2025-06-30 01:00:00,50.79999999999988,-3.5000000000000138,0,0001,1.0,9.815680379609712e-09,1.0684074236432863e-08,9.424710294599767e-09,1.0341561715772854e-08,9.815680379609732e-09,1.0684074236432881e-08,9.03374020958924e-09,9.999049195112332e-09,9.918062759960792e-09,1.077973908053448e-08,8.64277012457871e-09,9.656536674451813e-09,1.0020445140311852e-08,1.0875403924636083e-08
2025-06-30 01:00:00,50.69999999999988,-3.600000000000014,0,0001,1.0,9.606969849270884e-09,1.0437804782530102e-08,9.606969849270886e-09,1.0437804782530099e-08,9.46274024762907e-09,1.029920128174664e-08,9.513892539522545e-09,1.0362695046969476e-08,9.318510645987224e-09,1.0160597780963155e-08,9.420815229773123e-09,1.0287585311408139e-08,9.174281044345378e-09,1.0021994280179669e-08
2025-06-30 02:00:00,53.49999999999992,-3.0000000000000133,0,0001,1.0,1.9578183518828115e-08,2.147564030311491e-08,1.9578183518828115e-08,2.1475640303114917e-08,1.9578183518828115e-08,2.1475640303114913e-08,1.7269737824971872e-08,1.9037037427929696e-08,1.9578183518828215e-08,2.1475640303115e-08,1.49612921311143e-08,1.659843455274314e-08,1.8918727047916387e-08,2.0800966023708338e-08
2025-06-30 02:00:00,53.39999999999992,-2.800000000000013,0,0001,1.0,2.0293273654081068e-08,2.1581922027276124e-08,2.0293273654081068e-08,2.1581922027276124e-08,1.928134908216722e-08,2.062571354451198e-08,2.0293273654082544e-08,2.1581922027277656e-08,1.8269424510253166e-08,1.9669505061747657e-08,1.8244532791941347e-08,1.9501016653341803e-08,1.725749993833912e-08,1.8713296578983328e-08
2025-06-30 02:00:00,50.899999999999885,-3.4000000000000137,0,0001,1.0,9.186579358334143e-09,1.0080343855930562e-08,9.186579358333243e-09,1.0080343855929791e-08,9.186579358334141e-09,1.0080343855930564e-08,8.583642704025919e-09,9.562931368074967e-09,9.186579358334174e-09,1.0080343855930597e-08,7.980706049718598e-09,9.045518880220144e-09,9.312423073412243e-09,1.0275932152646418e-08
2025-06-30 03:00:00,53.89999999999993,-2.9000000000000132,0,0001,1.0,1.7687396519640785e-08,1.9648546178976103e-08,1.7687396519640785e-08,1.9648546178976107e-08,1.7687396519640785e-08,1.96485461789761e-08,1.8190907447036832e-08,2.011657507239455e-08,1.6965476558330085e-08,1.9064204853648983e-08,1.869441837443063e-08,2.0584603965810602e-08,1.6243556597019285e-08,1.8479863528321783e-08
2025-06-30 03:00:00,53.699999999999925,-2.9000000000000132,0,0001,1.0,2.216240704844451e-08,2.4131983911159388e-08,2.2162407048441795e-08,2.4131983911156563e-08,2.216240704844451e-08,2.4131983911159385e-08,1.9436428994045402e-08,2.1297027918975192e-08,2.1040591983991347e-08,2.3103633811640415e-08,1.6710450939649005e-08,1.8462071926793828e-08,1.9918776919538064e-08,2.2075283712121323e-08
2025-06-30 03:00:00,53.49999999999992,-3.0000000000000133,0,0001,1.0,1.9080455881944852e-08,2.1049450515949748e-08,1.908045588194485e-08,2.1049450515949748e-08,1.908045588194485e-08,2.1049450515949748e-08,1.6879890762932205e-08,1.872641408606671e-08,1.9080455881944938e-08,2.104945051594982e-08,1.4679325643918307e-08,1.6403377656182418e-08,1.842094135562079e-08,2.036837709606641e-08
