time,latitude,longitude,number,expver,Star_Event,PM25_Step0,PM10_Step0,PM25_Step1,PM10_Step1,PM25_Step2,PM10_Step2,PM25_Step3,PM10_Step3
2025-06-18 15:00:00,50.79999999999988,-3.3000000000000136,0,0001,1.0,5.386346479953684e-09,6.851856249048756e-09,5.657633749078038e-09,7.2734064838715585e-09,5.939239569771485e-09,7.697709436887167e-09,6.220845390464946e-09,8.122012389902795e-09
2025-06-18 15:00:00,50.79999999999988,-3.2000000000000135,0,0001,1.0,5.168295458270759e-09,6.565322396848486e-09,5.469678708224037e-09,7.024559101067694e-09,5.771061958177751e-09,7.483795805287585e-09,6.072445208131464e-09,7.943032509507476e-09
2025-06-18 15:00:00,50.79999999999988,-3.1000000000000134,0,0001,1.0,4.9915186428625825e-09,6.289799417416925e-09,5.2855630618840714e-09,6.749749608197735e-09,5.589926032474686e-09,7.212452517171409e-09,5.894289003065301e-09,7.675155426145084e-09
2025-06-18 15:00:00,50.69999999999988,-4.300000000000013,0,0001,1.0,9.379077230143078e-09,1.2452134642848675e-08,9.37907723014308e-09,1.2452134642848678e-08,9.649983118142784e-09,1.2762295619611252e-08,9.92088900614321e-09,1.3072456596374976e-08
2025-06-18 15:00:00,50.69999999999988,-4.2000000000000135,0,0001,1.0,9.01552750509668e-09,1.1882531764096096e-08,9.01552750509668e-09,1.1882531764096094e-08,9.29203543276192e-09,1.2191374590408801e-08,9.563029977274957e-09,1.2537985006125601e-08
2025-06-18 15:00:00,50.69999999999988,-4.100000000000014,0,0001,1.0,8.651977780050281e-09,1.1312928885343517e-08,8.651977780050281e-09,1.1312928885343517e-08,8.928574364228206e-09,1.16582211506094e-08,9.205170948406704e-09,1.2003513415876226e-08
2025-06-18 15:00:00,50.69999999999988,-4.000000000000014,0,0001,1.0,8.288428055003883e-09,1.0743326006590937e-08,8.28075675564426e-09,1.0755957102413013e-08,8.565113295694494e-09,1.1125067710810005e-08,8.849469835745223e-09,1.149417831920783e-08
2025-06-18 15:00:00,50.69999999999988,-3.900000000000014,0,0001,1.0,7.89419313251899e-09,1.0224247511126657e-08,7.894193132518988e-09,1.0224247511126662e-08,8.158531458052675e-09,1.0583425486682463e-08,8.422869783586828e-09,1.0942603462239035e-08
2025-06-18 15:00:00,50.69999999999988,-3.4000000000000137,0,0001,1.0,6.581287501085487e-09,8.639695903147663e-09,6.581287501085487e-09,8.639695903147664e-09,6.832797340949623e-09,9.026312386766263e-09,7.139762439254908e-09,9.474639237236528e-09
2025-06-18 15:00:00,50.59999999999988,-4.700000000000012,0,0001,1.0,1.033598763522304e-08,1.4090244304652852e-08,1.0335987635223051e-08,1.4090244304652867e-08,1.04065265467413e-08,1.4179995011520654e-08,1.0874450158057918e-08,1.4876787392259852e-08
2025-06-18 15:00:00,50.59999999999988,-4.600000000000012,0,0001,1.0,1.0175041947890315e-08,1.3700284351435728e-08,1.0175041947890315e-08,1.3700284351435725e-08,1.0175041947890963e-08,1.3700284351436856e-08,1.0648150847170253e-08,1.4449173267594706e-08
2025-06-18 15:00:00,50.59999999999988,-4.500000000000012,0,0001,1.0,1.001409626055759e-08,1.33103243982186e-08,1.0014096260557592e-08,1.33103243982186e-08,9.97780215394907e-09,1.3291681956462553e-08,1.042185153628258e-08,1.4021559142929554e-08
2025-06-18 15:00:00,50.59999999999988,-4.400000000000013,0,0001,1.0,9.853150573224867e-09,1.2920364445001475e-08,9.816856466615824e-09,1.2901722003244433e-08,9.780562360007182e-09,1.288307956148826e-08,1.0266091136912399e-08,1.3683695725130936e-08
2025-06-18 15:00:00,50.59999999999988,-4.300000000000013,0,0001,1.0,9.547028459455969e-09,1.2455834724756185e-08,9.547028459455964e-09,1.245583472475618e-08,9.510734352847234e-09,1.2437192282999866e-08,9.948578945026673e-09,1.3169314340422414e-08
2025-06-18 15:00:00,50.59999999999988,-4.2000000000000135,0,0001,1.0,9.240906345687046e-09,1.199130500451088e-08,9.240906345687046e-09,1.1991305004510881e-08,9.240906345687273e-09,1.1991305004511462e-08,9.629710723269204e-09,1.2681085428262538e-08
2025-06-18 15:00:00,50.59999999999988,-4.100000000000014,0,0001,1.0,8.93478423191812e-09,1.152677528426558e-08,8.93478423191812e-09,1.1526775284265578e-08,8.933428202046555e-09,1.1552927756814701e-08,9.310842501511731e-09,1.2192856516102668e-08
2025-06-18 15:00:00,50.49999999999988,-4.800000000000011,0,0001,1.0,9.762514130428109e-09,1.32580755818328e-08,9.88160057079065e-09,1.3410965712945199e-08,1.0552035755589873e-08,1.4432083431103793e-08,1.1222470940389093e-08,1.5453201149262386e-08
2025-06-18 15:00:00,50.49999999999988,-4.700000000000012,0,0001,1.0,9.812804145636082e-09,1.3148304528474936e-08,9.81280414563685e-09,1.3148304528476201e-08,1.0410610861225124e-08,1.4091878466210247e-08,1.1008417576813402e-08,1.5035452403944296e-08
2025-06-18 15:00:00,50.49999999999988,-4.600000000000012,0,0001,1.0,9.863094160844139e-09,1.3038533475117185e-08,9.863094160844774e-09,1.3038533475118298e-08,1.0269185966860402e-08,1.3751673501316729e-08,1.0719618083812845e-08,1.4555282281531149e-08
2025-06-18 15:00:00,50.49999999999988,-4.500000000000012,0,0001,1.0,9.9133841760522e-09,1.2928762421759428e-08,9.913384176052718e-09,1.2928762421760424e-08,1.0172101383432495e-08,1.3501937290439199e-08,1.0430818590812276e-08,1.407511215911799e-08
2025-06-18 16:00:00,54.69999999999994,-6.200000000000006,0,0001,1.0,9.28465630304706e-09,1.2616752716650405e-08,9.28465630304706e-09,1.2616752716650407e-08,9.222256125429466e-09,1.256709384704146e-08,9.105659032337876e-09,1.244041045641197e-08
2025-06-18 16:00:00,54.59999999999994,-6.300000000000006,0,0001,1.0,8.934913845829678e-09,1.2191729366802288e-08,8.934913845829678e-09,1.2191729366802285e-08,8.925250372104776e-09,1.2188043010026925e-08,8.896139912691434e-09,1.2193932678409564e-08
2025-06-18 16:00:00,54.59999999999994,-6.200000000000006,0,0001,1.0,9.09017868385321e-09,1.241411914006562e-08,9.09017868385321e-09,1.2414119140065622e-08,9.090178683853252e-09,1.241411914006568e-08,9.024257258127753e-09,1.2358959864770269e-08
2025-06-18 16:00:00,54.399999999999935,-0.8000000000000116,0,0001,1.0,7.074968462935425e-09,9.120766364389856e-09,7.272374572912314e-09,9.341759773147545e-09,7.469780682889355e-09,9.562753181905414e-09,7.667186792866393e-09,9.783746590663284e-09
2025-06-18 16:00:00,54.29999999999993,-0.7000000000000116,0,0001,1.0,7.368966400041822e-09,9.160893654769262e-09,7.368966400041823e-09,9.160893654769262e-09,7.579762632362941e-09,9.41416334702466e-09,7.790558864684098e-09,9.667433039280182e-09
2025-06-18 16:00:00,54.19999999999993,-0.6000000000000116,0,0001,1.0,7.74335144152872e-09,9.286635682670345e-09,7.74335144152872e-09,9.286635682670347e-09,7.743351441528556e-09,9.286635682670224e-09,7.922759670542013e-09,9.614075850242636e-09
2025-06-18 16:00:00,54.09999999999993,-0.4000000000000117,0,0001,1.0,8.403582126467082e-09,9.739655896604904e-09,8.517741058774088e-09,9.883364131731371e-09,8.392631719219179e-09,9.83356602627729e-09,8.267522379664269e-09,9.783767920823207e-09
2025-06-18 16:00:00,53.99999999999993,-0.4000000000000117,0,0001,1.0,8.733282837643081e-09,9.794963951036802e-09,8.591919083607313e-09,9.718387853721936e-09,8.450555329571341e-09,9.64181175640691e-09,8.30919157553537e-09,9.565235659091886e-09
2025-06-18 16:00:00,53.99999999999993,-0.3000000000000117,0,0001,1.0,9.370553000208861e-09,1.0547155741372168e-08,9.09147808425489e-09,1.0322192572908372e-08,8.910307686126833e-09,1.0214159647710081e-08,8.729137287998775e-09,1.010612672251179e-08
2025-06-18 16:00:00,53.799999999999926,-0.3000000000000117,0,0001,1.0,7.747706883460739e-09,8.72945730515938e-09,7.747706883460747e-09,8.729457305159392e-09,7.797566083562709e-09,8.79483221434927e-09,7.631283882591494e-09,8.716363251540468e-09
2025-06-18 16:00:00,52.69999999999991,1.0999999999999883,0,0001,1.0,6.163286862352902e-09,7.349754601224031e-09,6.163286862352902e-09,7.349754601224032e-09,7.1354325920088964e-09,8.795251966545406e-09,8.107578321665662e-09,1.0240749331868003e-08
2025-06-18 16:00:00,52.59999999999991,1.0999999999999883,0,0001,1.0,6.856863558428725e-09,8.148184534503737e-09,6.856863558428726e-09,8.148184534503737e-09,6.9234887267737044e-09,8.279747979826624e-09,7.647832792981639e-09,9.44886494047458e-09
